FeatureID,estimate,stderror,df,tvalue,lower,upper,pvalue,padj,Name,Formula,Annotation_level,use_Sirius_class,env_sig
FT_1.266_175.03993,-0.2230779455858013,0.054471912593161365,24.03960050178198,-4.095283880555489,-0.33549264801144346,-0.11066324316015912,4.1294001207056735e-4,0.015316320447708318,4-Methylumbelliferone,C10H8O3,L2.1,no,pH
FT_1.298_395.15023,0.3786172496962076,0.10720160291548742,25.54968221173455,3.53182451940286,0.1580720200039111,0.5991624793885041,0.0015930453367116206,0.030230813831550758,no name,C23H24O6,L3.1,yes,pH
FT_1.313_415.24926,0.22864335411907188,0.053517624072944525,27.634724138418463,4.272300164286647,0.1189521522666417,0.3383345559715021,2.0623284282474206e-4,0.010249870106201134,no name,C25H36O5,L3.2,yes,pH
FT_1.347_327.12404,0.19223355563328165,0.04887603963960454,27.989073183258895,3.9330837164947727,0.092113766070778,0.2923533451957853,5.029102130781414e-4,0.016800968099436077,10-(4-Sulfophenyl) decanoic acid,C16H24O5S,L2.1,no,pH
FT_1.352_411.10878,0.2549206239251069,0.05797516335439034,27.99999999962739,4.397066074084676,0.13616388526315656,0.3736773625870572,1.4376910720924764e-4,0.008906815044387397,no name,C22H20O8,L3.2,yes,pH
FT_1.377_701.25927,0.2719946543238786,0.07505324212359503,27.999999999766317,3.624022715447354,0.11825505714296106,0.42573425150479616,0.0011401340477207877,0.023258734573504067,no name,C39H42O12,L3.3,no,pH
FT_1.380_439.14010,0.328537600861754,0.0672042112121814,27.44790568788011,4.888646037738234,0.19075116057136682,0.46632404115214116,3.946470191321465e-5,0.004025399595147894,no name,C24H24O8,L3.2,yes,pH
FT_1.446_195.06632,0.24109855167115393,0.040999076532159166,27.713571899696817,5.880584931761554,0.15707662887360646,0.3251204744687014,2.625233165293534e-6,4.914675979659321e-4,Hydroferulic acid,C10H12O4,L1,no,pH
FT_1.477_179.07139,0.15875369178549367,0.047465456637277297,27.70621029976925,3.34461528514645,0.06147864258729269,0.25602874098369466,0.00237653225729754,0.041260645147974305,2'-Hydroxy-4'-methoxypropiophenone,C10H12O3,L2.2,no,pH
FT_1.525_251.09253,0.29554832227013195,0.03749689252957592,26.13658828154958,7.881941737892447,0.21849195501487315,0.3726046895253907,2.2502950063595198e-8,1.836240725189368e-5,"6-Amino-3-methyl-4-phenyl-1,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile",C14H12N4O,L2.1,no,pH
FT_1.566_295.08239,-0.14694734651117242,0.044892532582452495,27.48555402806749,-3.2733138020511436,-0.23898313511575248,-0.05491155790659234,0.002868790239588305,0.04603487126551651,no name,C14H16O7,L3.1,yes,pH
FT_1.659_257.10292,-0.18198910974064023,0.04275680185982574,26.98958464550022,-4.256377975538836,-0.2697204047259087,-0.09425781475537176,2.2406657601404016e-4,0.010249870106201134,no name,C12H18O6,L3.2,yes,pH
FT_1.666_323.11403,-0.3580893567303048,0.10400116642510325,27.776970739216633,-3.4431282747985708,-0.57120317768048,-0.14497553578012962,0.0018406835289173343,0.034136312718103294,no name,C15H18O5,L3.1,yes,pH
FT_1.670_181.05059,-0.12937408434565517,0.03417349571592568,27.999999999269555,-3.7858018805305806,-0.1993753170303488,-0.05937285166096154,7.439976135206304e-4,0.018971939144776073,"1-(2,3-Dihydroxy-4-methoxyphenyl)ethanone",C9H10O4,L2.3,no,pH
FT_1.672_209.04538,0.2081611833131211,0.048796998895155444,16.386637763369414,4.265860360805658,0.10491417936071747,0.31140818726552477,5.628119240199616e-4,0.016800968099436077,no name,C9H8O3,L3.1,no,pH
FT_1.672_297.13448,-0.2347528108676884,0.053662572317583895,27.99999999972695,-4.3746097275841125,-0.3446756072501793,-0.12483001448519745,1.5281300321252886e-4,0.008906815044387397,no name,C15H22O6,L3.1,no,pH
