KEGG_ID,PubChem_CID,query
NA,85638857,"3-(2,5-Dihydroxyphenyl)prop-2-enal"
NA,10375417,"3-(2,4-Dihydroxyphenyl)-2-oxopropanoic acid"
NA,10081079,3-(1-Hydroxy-2-Methylbutyl)-4-Methyl-2(5H)-Furanone)
NA,3083620,3-(1H-imidazol-5-yl)-2-(trimethylazaniumyl)propanoate
NA,119216,"2-Propenal, 3-(4-hydroxy-3,5-dimethoxyphenyl)-"
NA,20489612,2-Piperidin-2-ylacetate
NA,25245002,2-methyl-muconate
NA,91747947,"2-Methyl-5-prop-1-en-2-ylcyclohexa-2,4-dien-1-one"
NA,162929400,"2-methyl-3-[(2-oxochromen-7-yl)oxymethyl]-4-(2,2,6-trimethylcyclohexyl)but-2-enoic acid"
NA,45783618,"2-Methoxy-N-(5-{5-[(2S)-1-(3,4,5-trimethoxybenzyl)-2-pyrrolidinyl]-1,2,4-oxadiazol-3-yl}-4-pyrimidinyl)acetamide"
NA,234836,2'-Hydroxy-4'-methoxypropiophenone
NA,11065315,"2'-Hydroxy4',6'-dimethoxy-3'-(3-methyl-2-butenyl)acetophenone"
NA,17760167,2-Hydroxy-4-(4-hydroxyphenyl)butanoic acid
NA,53481638,2-Hexenoylcarnitine
NA,21933448,2-Decylbenzenesulfonate
NA,566981,"2-Cyclohexen-1-one, 4-hydroxy-3-methyl-6-(1-methylethyl)-"
NA,11000257,2-Butyl-5-[2-(4-hydroxy-3-methoxyphenyl)ethyl]furan
NA,12886519,"2'-Acetoxy-4',6'-dimethoxyacetophenone"
NA,19364695,2-acetamidohex-4-enoic acid
NA,49852406,2-acetamido-2-deoxy-3-O-(6-O-sulfonato-beta-D-glucosyl)-beta-D-galactose
NA,2811005,2-{2-[5-(Ethoxycarbonyl)-2-morpholinoanilino]-2-oxoethoxy}acetic acid
NA,2812085,2-{[2-(3-cyano-2-pyridinyl)hydrazino]carbonyl}benzoic acid
C00294,135398641,inosinum
D00054,135398641,inosinum
NA,45784316,2-[(3S)-1-(cyclohexylmethyl)pyrrolidin-3-yl]-3H-benzimidazole-5-carbonitrile
NA,6491564,"2-[(3,6-dimethyl-4-oxo-2-thieno[2,3-d]pyrimidinyl)thio]-N-(4-methylphenyl)acetamide"
NA,23426972,"2-[(2S,5S)-5-hydroxy-6-methylhept-6-en-2-yl]-5-methylphenol"
NA,25390395,"2-[(2S,3R,4S,5R)-3,4-Dihydroxy-5-{[(isopropylcarbamoyl)amino]methyl}tetrahydro-2-furanyl]-N-[2-(dimethylamino)ethyl]acetamide"
NA,15139555,"2-[(2R)-5-acetyl-2,3-dihydro-1-benzofuran-2-yl]prop-2-enyl (Z)-2-methylbut-2-enoate"
NA,334517,2-[(2-Amino-3-methylbutanoyl)amino]propanoic acid
NA,87288508,2-[(2-Acetamido-5-amino-5-oxopentanoyl)amino]-5-amino-5-oxopentanoic acid
NA,6708611,"2,6-Dihydroxy-4-methoxybenzoic acid"
NA,865,"2,6-Diaminopimelic Acid"
NA,62374,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione"
NA,15360237,"2,5-Dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione"
NA,123772,"2,5-Cyclohexadien-1-one, 4-hydroxy-2,3,5,6-tetramethyl-"
NA,44715161,"2,4-Dihydroxy-6-(4-hydroxy-2-oxopentyl)-3-methylbenzaldehyde"
