CHEBI_ID,PubChem_CID,query
CHEBI:202267,23624765,Kioukasin A
CHEBI:74219,71581117,fumicycline A
CHEBI:168920,197627,alpha-Hydroxysalmeterol
CHEBI:174907,6440422,"9-Hydroxy-4-(3,7-dimethyl-2,6-octadienyloxy)-psoralen"
CHEBI:77754,86583341,9-hydroperoxy-10E-octadecenoate
CHEBI:214088,139590714,Aspergixanthone I
CHEBI:198969,102341761,Aspergilline B
CHEBI:190318,628758,"7,18-Dihydroxykaurenolide"
CHEBI:89308,23208897,6-Amino-2-(4-aminobutanamido)hexanoic acid
CHEBI:92599,6708539,Rotenonic acid
CHEBI:175448,131753003,"3b-Hydroxy-6b-tigloyloxy-7(11)-eremophilen-12,8b-olide"
CHEBI:174955,53481537,9'-Carboxy-gamma-tocotrienol
CHEBI:182655,104301,"1-(2-Hydroxyethyl)-2,2,6,6-tetramethyl-4-hydroxypiperidine"
CHEBI:188134,131753074,beta-D-Galactopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->6)-D-mannose
CHEBI:74074,135407110,Allopurinol riboside
CHEBI:82965,7009567,gamma-Glutamylmethionine
CHEBI:224540,135509123,5'-Deoxyguanosine
CHEBI:73513,515717,Glu-Tyr
CHEBI:229118,5317361,Floridinine
CHEBI:88762,53481638,2-Hexenoylcarnitine
CHEBI:73057,71464537,O-sebacoylcarnitine
CHEBI:192040,27694,"6,7-Dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinoline"
CHEBI:169226,196513,6-Hydroxy-5-methoxyindole glucuronide
CHEBI:172443,177040,"1-(2,2-Dimethylchromen-6-yl)ethanone"
CHEBI:173555,21909602,"3,4',5-Biphenyltriol"
CHEBI:193968,316180,Pentahydroxybenzene
