kegg_cid,month,month_mean_int,log_int
C02759,October,83873746.14490163,27.32171595838214
C02759,September,120215500.66194953,27.841047689144094
C03411,August,21811922.37681941,25.3786135905994
C03411,July_1,23098368.127282675,25.46128759473431
C03411,July_2,29237007.94294201,25.80129234052413
C03411,July_3,22998536.885197747,25.45503874731114
C03411,June,15727449.707430433,24.90678141298575
C03411,May,17301601.694850795,25.04440226567214
C03411,October,18451125.738666344,25.137205504781523
C03411,September,22083785.16164861,25.396484135508736
C03440,August,3554935.404079318,22.761391914524417
C03440,July_1,9597123.103749864,24.194170568285145
C03440,July_2,9729930.150577338,24.21399801751891
C03440,July_3,10437310.275847953,24.31524663745514
C03440,June,43606093.63526863,26.378026419468263
C03440,May,1140931.2789477806,21.121780466554018
C03440,October,1768957.3747928757,21.75446785425722
C03440,September,582573.6518660614,20.152080928436302
C03521,August,50325412.66329796,26.584783761360192
C03521,July_1,22816027.58824549,25.443544295557277
C03521,July_2,14482723.45987247,24.78782958932571
C03521,July_3,32316536.306206938,25.94576924220095
C03521,June,26183041.25318915,25.642129345378056
C03521,May,23816888.533544086,25.505481614339235
C03521,October,39036197.04473908,26.21830917479835
C03521,September,22190863.295149915,25.40346245826313
C03570,August,50325412.66329796,26.584783761360192
C03570,July_1,22816027.58824549,25.443544295557277
C03570,July_2,14482723.45987247,24.78782958932571
C03570,July_3,32316536.306206938,25.94576924220095
C03570,June,26183041.25318915,25.642129345378056
C03570,May,23816888.533544086,25.505481614339235
C03570,October,39036197.04473908,26.21830917479835
C03570,September,22190863.295149915,25.40346245826313
C03652,August,8359700.792615141,23.995019876135693
C03652,July_1,7936186.188689197,23.92001444211898
C03652,July_2,8939116.049994018,24.091700745996654
C03652,July_3,7332777.258395281,23.805928285834835
C03652,June,11969924.362907952,24.512910700235444
C03652,May,13317395.513597075,24.666808625973623
C03652,October,12075321.23293649,24.525558232982736
C03652,September,7861421.63618498,23.90635879809503
C03761,August,50325412.66329796,26.584783761360192
C03761,July_1,22816027.58824549,25.443544295557277
C03761,July_2,14482723.45987247,24.78782958932571
C03761,July_3,32316536.306206938,25.94576924220095
C03761,June,26183041.25318915,25.642129345378056
C03761,May,23816888.533544086,25.505481614339235
C03761,October,39036197.04473908,26.21830917479835
C03761,September,22190863.295149915,25.40346245826313
C03771,August,18116123.880600214,25.110770974097303
C03771,July_1,9561481.423227254,24.18880273108317
C03771,July_2,10703033.764670791,24.351516449332138
C03771,July_3,10917759.581802327,24.380173497406815
C03771,June,5300348.852185734,23.337655885746365
C03771,May,3251499.891966418,22.632673945167728
C03771,October,15747000.427432105,24.908573706754126
C03771,September,9922536.978810906,24.2422776031225
C04114,August,6775116.394309575,23.69181430103804
C04114,July_1,2410327.982717264,22.200798042271
C04114,July_2,4305484.639649199,23.037744210631708
C04114,July_3,6446771.651517908,23.62014545260054
C04114,June,2157592.646364047,22.040991078939495
C04114,May,1079630.505298512,21.04210621561862
C04114,October,636374.384937419,20.279516240547437
C04114,September,678783.5935731475,20.37259216931713
C04149,August,2390527.08889444,22.1888973233856
C04149,July_1,2705196.6836621556,22.36730205957907
C04149,July_2,2779987.6963439095,22.406647067214404
C04149,July_3,2041410.323418304,21.961134762505097
C04149,June,5633710.391530077,23.425653971261667
C04149,May,6599850.474046282,23.654001908523217
C04149,October,4491888.297251587,23.09889062105983
C04149,September,1593230.2368880804,21.60352333437665
C04164,August,25509360.761100333,25.604523411119565
C04164,July_1,31516457.676829785,25.909602054993787
C04164,July_2,30215217.080609042,25.848771971299364
C04164,July_3,30987017.45168599,25.885160564190976
C04164,June,30108044.8396738,25.843645689388367
C04164,May,41707388.25053123,26.31379963656861
C04164,October,26304200.749688555,25.648789878816512
C04164,September,34730950.61275973,26.049718563141887
C04257,August,50325412.66329796,26.584783761360192
