query,ko,name
Adenine,cpd:C04856,"(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide; (S)-NADH-hydrate; (S)-NADHX; (6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide; 6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide"
Adenine,cpd:C04899,"(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate; (S)-NADPH-hydrate; (S)-NADPHX; (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide 2'-phosphate"
Adenine,cpd:C05026,N3-Metyladenine
Adenine,cpd:C07195,Vidarabine; 9-beta-D-Arabino furanosyl adenine monohydrate
Adenine,cpd:C08272,Kinetin; 6-Furfuryladenine
Adenine,cpd:C08434,6-Methylaminopurine; N6-Methyladenine
Adenine,cpd:C10831,Zygadenine
Adenine,cpd:C11263,6-Benzylaminopurine; N-Benzyladenine; N6-Benzyladenine
Adenine,cpd:C11277,Adefovir; PMEA; 9-(2-Phosphonylmethoxyethyl)adenine
Adenine,cpd:C11501,9-Riburonosyladenine
Adenine,cpd:C11691,Stemmadenine
Adenine,cpd:C13051,Nicotinic acid adenine dinucleotide phosphate; Nicotinate-adenine dinucleotide phosphate; NAADP
Adenine,cpd:C17324,tRNA adenine; Adenosine in tRNA
