kegg_cid,month,month_mean_int,log_int
C19615,July_3,37465377.099218145,26.159054636874806
C19615,June,37301687.96936721,26.152737580749296
C19615,May,30587623.005827688,25.866444662217575
C19615,October,31396241.537642464,25.904088527801502
C19615,September,26140495.297389284,25.639783141087715
C20380,August,16394665.898012597,24.966723165991812
C20380,July_1,11790207.682536397,24.49108579558489
C20380,July_2,11770444.194790209,24.4886654302573
C20380,July_3,15919895.249852397,24.92432750744136
C20380,June,21060161.708101403,25.328013178190567
C20380,May,12205524.28803671,24.54103093159648
C20380,October,11377597.369639441,24.439692597175068
C20380,September,11034823.858839676,24.395560265282928
C20648,August,11122050.252651198,24.40691942499645
C20648,July_1,5439193.3806131715,23.374961288433553
C20648,July_2,4451294.002866172,23.085793361614982
C20648,July_3,3227957.8931041914,22.622190328916986
C20648,June,3820170.8850839874,22.865205744116402
C20648,May,4354635.43400549,23.054120512128108
C20648,October,4370500.412186436,23.05936704375209
C20648,September,3437242.4653996164,22.71282019330431
C20985,August,50543073.60951886,26.591010063879658
C20985,July_1,48097914.66683748,26.519471010077343
C20985,July_2,50597745.84867908,26.592569777878726
C20985,July_3,37303983.00030925,26.152826341555727
C20985,June,76659604.35119317,27.19196321645844
C20985,May,66339054.848894455,26.98335512200334
C20985,October,72590412.0451682,27.1132756696176
C20985,September,41212588.21498637,26.296581734179682
C21297,August,233023594.34778628,28.79590079863591
C21297,July_1,251430523.30748627,28.905584560612652
C21297,July_2,265754787.06792665,28.985520438501396
C21297,July_3,227581711.29808506,28.76180938493455
C21297,June,222183067.87625274,28.72717363513401
C21297,May,178502406.2424528,28.411368281256106
C21297,October,205713887.4540235,28.61606395055414
C21297,September,194273262.73037937,28.533512119720754
C21798,August,11122050.252651198,24.40691942499645
C21798,July_1,5439193.3806131715,23.374961288433553
C21798,July_2,4451294.002866172,23.085793361614982
C21798,July_3,3227957.8931041914,22.622190328916986
C21798,June,3820170.8850839874,22.865205744116402
C21798,May,4354635.43400549,23.054120512128108
C21798,October,4370500.412186436,23.05936704375209
C21798,September,3437242.4653996164,22.71282019330431
C21844,August,11122050.252651198,24.40691942499645
C21844,July_1,5439193.3806131715,23.374961288433553
C21844,July_2,4451294.002866172,23.085793361614982
C21844,July_3,3227957.8931041914,22.622190328916986
C21844,June,3820170.8850839874,22.865205744116402
C21844,May,4354635.43400549,23.054120512128108
C21844,October,4370500.412186436,23.05936704375209
C21844,September,3437242.4653996164,22.71282019330431
C22573,August,11122050.252651198,24.40691942499645
C22573,July_1,5439193.3806131715,23.374961288433553
C22573,July_2,4451294.002866172,23.085793361614982
C22573,July_3,3227957.8931041914,22.622190328916986
C22573,June,3820170.8850839874,22.865205744116402
C22573,May,4354635.43400549,23.054120512128108
C22573,October,4370500.412186436,23.05936704375209
C22573,September,3437242.4653996164,22.71282019330431
