Reaction,Pathways,n_reaction
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN,PWY4FS-7,6
RXN-20512,PWY-8053,7
RXN-20512,PWY-8051,11
RXN-1623,PHOSLIPSYN2-PWY,18
RXN-1623,PHOSLIPSYN-PWY,12
RXN-1623,PWY4FS-8,6
RXN-1623,PWY-5667,4
RXN-1623,TRIGLSYN-PWY,4
RXN-16067,PWY-7596,4
RXN-16067,PWY-7587,2
RXN-16032,PWY-7589,1
RXN-16118,PWY-6453,3
RXN-15043,PWY-7411,3
RXN-15043,PWY-7417,2
RXN-20565,PWY-8055,5
RXN-17729,PWY-7782,8
RXN-11484,BIOTIN-BIOSYNTHESIS-PWY,13
RXN-11484,PWY-8203,4
RXN-11484,PWY-7147,1
RXN-11484,PWY-6519,11
7KAPSYN-RXN,PWY-6578,2
7KAPSYN-RXN,PWY-5005,4
RXN-9758,PWY-6054,1
RXN-9758,PWY-6055,1
RXN-6382,PWY-5760,2
RXN-6382,PWY-3981,1
BADH-RXN,PWY-7494,1
BADH-RXN,BETSYN-PWY,2
BADH-RXN,PWY1F-353,2
BADH-RXN,P542-PWY,3
BADH-RXN,PWY-3722,1
BADH-RXN,CHOLINE-BETAINE-ANA-PWY,2
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN,PWY-6549,6
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN,PWY-7115,8
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN,PWY-7117,9
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN,PWY-241,4
TSA-REDUCT-RXN,GALACTARDEG-PWY,4
TSA-REDUCT-RXN,GLYCOLATEMET-PWY,3
TSA-REDUCT-RXN,GLUCARDEG-PWY,4
TSA-REDUCT-RXN,GLYCOL-GLYOXDEG-PWY,6
TSA-REDUCT-RXN,GLUCARGALACTSUPER-PWY,5
TSA-REDUCT-RXN,PWY-6516,22
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,7
RXN-21711,PWY-7052,6
RXN-14272,PWY-7656,11
RXN-14272,PWY-7654,7
RXN-17776,PWY0-1337,29
RXN-2425,PWY-8354,5
RXN-2425,PWY-8347,4
RXN-2425,PWY0-321,9
RXN-2425,PWY-1361,6
RXN-2425,PWY-6071,11
RXN0-5393,PWY0-1337,29
RXN-21759,PWY-8179,8
RXN-2002,PWY-6443,5
RXN-2002,PWY-6458,3
RXN-2002,PWY-6446,3
RXN-2002,P281-PWY,6
RXN-17114,PWY-7726,4
RXN-14273,PWY-7654,7
RXN-14273,PWY-8568,19
RXN-16558,PWY-7656,11
RXN-16135,PWY-7606,4
ENOYL-COA-HYDRAT-RXN,FAO-PWY,5
ENOYL-COA-HYDRAT-RXN,PWY-5136,4
ENOYL-COA-HYDRAT-RXN,PWY-5138,4
ENOYL-COA-HYDRAT-RXN,PWY66-391,5
ENOYL-COA-HYDRAT-RXN,PWY-561,11
ENOYL-COA-HYDRAT-RXN,PWY-7007,3
RXN-21780,PWY-8181,13
RXN-8031,PWY-301,2
RXN-8031,P321-PWY,2
RXN-8031,PWY-8589,2
RXN-21779,PWY-8181,13
RXN-21766,PWY-8182,7
RXN-17780,PWY0-1337,29
RXN-21781,PWY-8181,13
2OXOGLUTDECARB-RXN,PWY-5084,3
ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN,PWY-7782,8
GLYOXI-RXN,PWY-5386,3
GLYOXI-RXN,METHGLYUT-PWY,6
GLYOXI-RXN,PWY-5386-1,3
RXN0-366,PWY-6606,4
RXN0-366,PWY-5044,9
RXN0-366,PWY-6599,2
RXN0-366,P165-PWY,15
RXN0-366,PWY-6595,5
RXN0-363,PWY-5044,9
RXN0-363,PWY-6607,3
RXN0-363,P165-PWY,15
RXN0-363,PWY-6596,6
RXN0-363,PWY-6595,5
THIOREDOXIN-REDUCT-NADPH-RXN,THIOREDOX-PWY,1
LYSINE--TRNA-LIGASE-RXN,TRNA-CHARGING-PWY,21
RXN-9160,PWY-5834,1
RXN-9160,PWY-5823,4
RXN-18846,PWY-7913,3
RXN18C3-14,PWY18C3-5,1
RXN-13603,PWY-7092,2
RXN-13602,PWY-7091,2
RXN-8036,PWY-5176,1
RXN-5341,PWY-7091,2
RXN-5341,PWY-3121,1
RXN-10773,PWY-6788,3
RXN-9674,PWY-6002,1
RXN-9674,PWY-7092,2
PMPOXI-RXN,PLPSAL-PWY,6
PMPOXI-RXN,PWY0-845,11
PMPOXI-RXN,PWY-7204,9
PNPOXI-RXN,PWY-7282,5
PNPOXI-RXN,PLPSAL-PWY,6
PNPOXI-RXN,PYRIDOXSYN-PWY,6
PNPOXI-RXN,PWY0-845,11
PNPOXI-RXN,PWY-7204,9
FORMATE-DEHYDROGENASE-NADP+-RXN,CODH-PWY,5
FORMATE-DEHYDROGENASE-NADP+-RXN,PWY-6146,46
FORMATE-DEHYDROGENASE-NADP+-RXN,PWY-5372,1
1.2.1.2-RXN,PWY-1881,1
1.2.1.2-RXN,PWY-6696,2
1.2.1.2-RXN,P164-PWY,7
1.2.1.2-RXN,PWY-1882,10
