FeatureID,Formula_CD,Potential_fragment,Formula_sirius,Formula_cmmrt,zscore_cmmrt,name_cmmrt,cd_vs_sirius,cd_vs_cmmrt,cmmrt_vs_sirius,Notes_name,Sirius_structure_percentage,use_Sirius_class,Final_name,Keep_formula,Final_annotation_comment
FT_1.177_271.16864,C11 H22 N6 S,NA,NA,C18 H22 O2,2.6633763,"3-Hydroxy-estra-1,3,5(10)-trien-16-one",FALSE,FALSE,FALSE,na,na,na,"3-Hydroxy-estra-1,3,5(10)-trien-16-one",C18 H22 O2,L3.3
FT_1.177_271.16864,C11 H22 N6 S,NA,NA,C18 H22 O2,2.612387,Estrone,FALSE,FALSE,FALSE,na,na,na,"3-Hydroxy-estra-1,3,5(10)-trien-16-one",C18 H22 O2,L3.3
FT_1.177_271.16864,C11 H22 N6 S,NA,NA,C18 H22 O2,2.5945444,"Estra-1,3,5(10),6-tetraene-3,17-diol",FALSE,FALSE,FALSE,na,na,na,"3-Hydroxy-estra-1,3,5(10)-trien-16-one",C18 H22 O2,L3.3
FT_1.179_180.08673,C6 H13 N O5,NA,C6 H13 N O5,C6 H13 N O5,0.82239896,beta-D-Glucosamine,TRUE,TRUE,TRUE,"match name cmmrt, sirius",77.98,na,D-Mannosamine,C6 H13 N O5,L3.1
FT_1.179_180.08673,C6 H13 N O5,NA,C6 H13 N O5,C6 H13 N O5,0.82239896,D-(+)-Glucosamine,TRUE,TRUE,TRUE,"match name cmmrt, sirius",77.98,na,D-Mannosamine,C6 H13 N O5,L3.1
FT_1.179_180.08673,C6 H13 N O5,NA,C6 H13 N O5,C6 H13 N O5,0.82239896,D-Mannosamine,TRUE,TRUE,TRUE,"match name cmmrt, sirius",77.98,na,D-Mannosamine,C6 H13 N O5,L3.1
FT_1.180_342.13304,C11 H25 N3 O5 P2,NA,C12 H24 N O8 P,C19 H19 N O5,2.0649662,Gravacridonediol,FALSE,FALSE,FALSE,na,na,yes,no name,C12 H24 N O8 P,L4.3
FT_1.180_342.13304,C11 H25 N3 O5 P2,NA,C12 H24 N O8 P,C19 H19 N O5,1.894371,N-[4'-hydroxy-(E)-cinnamoyl]-L-tyrosine methyl ester,FALSE,FALSE,FALSE,na,na,yes,no name,C12 H24 N O8 P,L4.3
FT_1.180_342.13304,C11 H25 N3 O5 P2,NA,C12 H24 N O8 P,C19 H19 N O5,1.4178345,Cassyfiline,FALSE,FALSE,FALSE,na,na,yes,no name,C12 H24 N O8 P,L4.3
FT_1.182_331.11710,C11 H18 N6 O4 S,NA,C14 H14 N6 O4,C18 H18 O6,2.684281,NA,FALSE,FALSE,FALSE,na,na,na,no name,C11 H18 N6 O4 S,L4.3
