FeatureID,Formula_CD,Potential_fragment,Formula_sirius,cd_vs_sirius,Notes_name,Sirius_structure_percentage,Final_name,Keep_formula,use_Sirius_class,Final_annotation_comment
FT_14.029_621.09731,C33 H22 N2 O9 S,NA,NA,FALSE,,,no name,C33 H22 N2 O9 S,,L4.3
FT_14.745_275.95730,C6 H5 N3 O6 P2,NA,C9 H N4 O5 S,FALSE,na,na,na,C9 H N4 O5 S,yes,L4.3
FT_14.071_563.18295,C20 H36 O18,NA,C20 H36 O18,TRUE,"formula match, name sirius",84.57,beta-D-Glc-(1->4)-[L-alpha-D-Hep-(1->3)]-L-alpha-D-Hep,C20 H36 O18,na,L3.3
FT_14.186_421.06603,C15 H25 N2 O4 P3 S,NA,C12 H22 O14 S,FALSE,keep sirius name,82.47,"[(2S,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxolan-2-yl]methyl hydrogen sulfate",C12 H22 O14 S,yes,L3.3
FT_14.755_500.91975,C8 H8 Cl2 N4 O17,NA,C6 H8 N4 O19 P2,FALSE,na,na,na,C6 H8 N4 O19 P2,yes,L4.3
FT_14.255_566.15747,C19 H29 N5 O15,NA,NA,FALSE,,,no name,C19 H29 N5 O15,,L4.3
FT_14.756_272.95894,C5 H9 Cl N2 O5 P2,NA,C2 H2 N4 O12,FALSE,na,na,na,C2 H2 N4 O12,yes,L4.3
FT_14.339_355.08840,C12 H20 O12,NA,C12 H20 O12,TRUE,"formula match, name sirius",84.51,GlcA(b1-4)a-Glc,C12 H20 O12,na,L3.3
FT_14.370_421.06602,C15 H25 N2 O4 P3 S,NA,C12 H22 O14 S,FALSE,keep sirius name,87.91,2-sulfotrehalose,C12 H22 O14 S,yes,L3.3
FT_14.398_446.09757,C14 H25 N O13 S,NA,C14 H25 N O13 S,TRUE,na,na,na,C14 H25 N O13 S,yes,L4.1
FT_14.759_160.97604,C3 H3 N2 O4 P,NA,C2 H2 N4 O3 S,FALSE,na,na,na,C2 H2 N4 O3 S,yes,L4.3
FT_14.760_158.97849,C H4 O9,NA,C2 N4 O5,FALSE,na,na,na,C2 N4 O5,yes,L4.3
FT_14.974_314.86449,C2 H N6 O3 P S4,NA,C H5 N2 O7 P S4,FALSE,na,na,na,C H5 N2 O7 P S4,yes,L4.3
