FeatureID,Name,Formula,Annotation MW,Calc. MW,# mzCloud Results,# mzVault Results,mzCloud Best Match,KEGG ID,Potential_fragment,Notes,Action_decision,Sirus_notes,Sirius_percentage,Sirius_name,Sirius_formula,CMMRT_name,CMMRT_formula,Correlation_duplicated annotations,Final_name,Final_formula,Final_decision
FT_6.596_137.04577,Hypoxanthine,C5 H4 N4 O,136.03851,136.03849,4,0,99.8,C00262,NA,0,L2,na,na,na,na,na,na,low,Hypoxanthine,C5 H4 N4 O,L2
FT_6.761_200.05429,Phenothiazine,C12 H9 N S,199.04557,177.06507,1,0,84.4,NA,NA,Adduct -21.98 Da,,no result,na,na,na,"(2S,4S)-4-amino-2-hydroxy-2-methylpentanedioic acid",C6H11NO5,0,"(2S,4S)-4-amino-2-hydroxy-2-methylpentanedioic acid",C6H11NO5,L3.3
FT_7.106_225.10971,NP-019374,C10 H18 O4,202.12051,224.10243,4,0,99.4,NA,NA,Adduct 21.98 Da,L2,low confidence,na,na,na,no result,no result,0,NP-019374,C10 H18 O4,L3.3
FT_7.161_223.09407,"2-[4-(tert-butyl)-2,3-dihydro-1,3-thiazol-2-yliden]-3-oxobutanenitrile",C11 H14 N2 O S,222.08268,222.08679,1,0,94,NA,NA,Adduct 18.5 ppm,na,"low confidence, sirius similar structire",na,na,na,no result,no result,low,unknown,C8H10N6O2,L4.3
FT_7.182_185.07835,5-amino-1-phenyl-1H-pyrazole-4-carbonitrile,C10 H8 N4,184.0749,184.07107,1,0,87.3,NA,NA,Adduct -20.77 ppm,na,na,na,na,na,na,na,0,5-amino-1-phenyl-1H-pyrazole-4-carbonitrile,C10 H8 N4,L2
FT_7.284_283.07884,"dimethyl N~1~,N~4~-dicyanotetrahydropyrazine-1,4-dicarbimidothioate",C10 H14 N6 S2,282.07214,282.07156,2,0,68.6,NA,NA,0,don't trust name,low confidence,na,na,na,no result,no result,0,unknown,C10 H14 N6 S2,L4.3
FT_7.326_171.06273,Penicillic acid,C8 H10 O4,170.05791,170.05545,1,0,70.1,NA,NA,Adduct -14.46 ppm,check with sirius,na,na,na,na,na,na,0,Penicillic acid,C8 H10 O4,L2
FT_7.344_127.05016,Thymine,C5 H6 N2 O2,126.04293,126.04288,3,0,99,C00178,NA,0,L2,na,na,na,na,na,na,0,Thymine,C5 H6 N2 O2,L2
FT_7.344_265.07950,α-Lapachone,C15 H14 O3,242.09429,264.07222,3,0,87.6,NA,NA,Adduct 21.97 Da,L2,low confidence,na,na,na,no result,no result,0,alpha-Lapachone,C15 H14 O3,L2
FT_7.567_223.09407,"2-[4-(tert-butyl)-2,3-dihydro-1,3-thiazol-2-yliden]-3-oxobutanenitrile",C11 H14 N2 O S,222.08268,222.08679,1,0,94.1,NA,NA,Adduct 18.5 ppm,check with sirius,"low confidence, sirius similar structire",47.3,3-[(2-amino-9H-purin-6-yl)amino]propanoic acid,C8H10N6O2,no result,no result,low,3-[(2-amino-9H-purin-6-yl)amino]propanoic acid,C8H10N6O2,L3.3
FT_7.691_227.12538,2-[(3S)-1-Methyl-3-pyrrolidinyl]-1H-benzimidazole-5-carbonitrile,C13 H14 N4,226.12185,226.1181,1,0,76.3,NA,NA,Adduct -16.57 ppm,check with sirius,"low confidence, sirius similar structire",na,na,na,no result,no result,0,2-[(3S)-1-(cyclohexylmethyl)pyrrolidin-3-yl]-3H-benzimidazole-5-carbonitrile,C19H24N4,L3.3
FT_7.703_266.12479,N6-Me-dA,C11 H15 N5 O3,265.11749,265.11751,1,0,99.1,NA,NA,0,L2,na,na,na,na,na,na,na,N6-Me-dA,C11 H15 N5 O3,L2
FT_7.836_223.09406,"2-[4-(tert-butyl)-2,3-dihydro-1,3-thiazol-2-yliden]-3-oxobutanenitrile",C11 H14 N2 O S,222.08268,222.08678,1,0,92.7,NA,NA,Adduct 18.45 ppm,check with sirius,"low confidence, sirius similar structire",na,na,na,no result,no result,low,N-(2-amino-9H-purin-6-yl)alanine,C8H10N6O2,L3.3
FT_8.058_227.12537,2-[(3S)-1-Methyl-3-pyrrolidinyl]-1H-benzimidazole-5-carbonitrile,C13 H14 N4,226.12185,226.11809,1,0,74.4,NA,NA,Adduct -16.6 ppm,check with sirius,"low confidence, sirius similar structire",,"(6R)-2-amino-6-(aminomethyl)-4-oxo-1,2,3,4a,6,7-hexahydropteridine-5-carbaldehyde",C8H14N6O2,no result,no result,0,"(6R)-2-amino-6-(aminomethyl)-4-oxo-1,2,3,4a,6,7-hexahydropteridine-5-carbaldehyde",C8H14N6O2,L3.3
FT_8.244_181.04702,"4-oxo-4,5,6,7-tetrahydrobenzo[b]furan-3-carboxylic acid",C9 H8 O4,180.04226,180.03975,1,0,63.9,NA,NA,Adduct -13.96 ppm ,check with sirius,low confidence,66.04,4-(Methoxycarbonyl)benzoic acid,C9H8O4,no result,no result,0,4-(Methoxycarbonyl)benzoic acid,C9H8O4,L3.3
FT_8.308_223.05768,"(3R,4S)-4,6,8-Trihydroxy-7-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11 H12 O6,240.06339,222.0504,2,0,67.5,NA,NA,Adduct -18 Da,L2,no result,na,na,na,no result,no result,higher 0.8,"(3R,4S)-4,6,8-Trihydroxy-7-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11 H12 O6,L3.3
FT_8.313_238.14375,Viloxazine,C13 H19 N O3,237.13649,237.13647,1,0,74.4,D08673,NA,"Drug, likely contaminant",L2,na,na,na,na,na,na,0,no name,C13 H19 N O3,L4.3
FT_8.352_427.12108,"(9R,10R)-10-(acetyloxy)-8,8-dimethyl-2-oxo-2H,8H,9H,10H-pyrano[2,3-h]chromen-9-yl 2-methylbutanoate",C21 H24 O7,388.1522,426.1138,9,0,98.7,NA,NA,Adduct 37.96 Da,check with sirius,"similar structure, low confidence",delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_8.445_223.05767,"(3R,4S)-4,6,8-Trihydroxy-7-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11 H12 O6,240.06339,222.0504,2,0,69.1,NA,NA,Adduct -39.99 Da,check with sirius,low confidence,na,na,na,no result,no result,higher 0.8,Lignicol,C11H12O6,L3.3
FT_8.459_225.10968,NP-019374,C10 H18 O4,202.12051,224.10241,5,0,98,NA,NA,Adduct 21.98 Da,low confidence,na,na,na,na,no result,no result,0,NP-019374,C10 H18 O4,L2
FT_8.485_279.08397,"2-methyl-5-pyridin-2-yl-7-(trifluoromethyl)pyrazolo[1,5-a]pyrimidine",C13 H9 F3 N4,278.07793,278.07669,5,0,90.5,NA,NA,"Lab-use synthetic compound, likely contaminant",na,na,75,"1,2-Diglycidyl phthalate",C14H14O6,same name,same formula,0.81,"1,2-Diglycidyl phthalate",C14H14O6,L3.1
FT_8.550_224.16450,Toliprolol,C13 H21 N O2,223.15723,223.15722,1,0,86.8,NA,NA,"Drug, likely contaminant",L2,na,na,na,na,na,na,0,no name,C13 H21 N O2,L4.3
FT_8.697_223.09406,"2-[4-(tert-butyl)-2,3-dihydro-1,3-thiazol-2-yliden]-3-oxobutanenitrile",C11 H14 N2 O S,222.08268,222.08678,1,0,93.5,NA,NA,Adduct 18.44 ppm,check with sirius,no result,delete,delete,delete,delete,delete,low,delete,delete,delete
FT_8.706_188.07061,trans-3-Indoleacrylic acid,C11 H9 N O2,187.06333,187.06334,3,0,90.6,NA,NA,0,0,"3-indoleacrylate, 84.73%",delete,delete,delete,delete,delete,0,,,delete
FT_8.743_316.17555,(5-methyl-3-isoxazolyl)[4-(5-propyl-2-pyrimidinyl)piperazino]methanone,C16 H21 N5 O2,315.16952,315.16827,1,0,60.6,NA,NA,0,L2,na,na,na,na,na,na,na,(5-methyl-3-isoxazolyl)[4-(5-propyl-2-pyrimidinyl)piperazino]methanone,C16 H21 N5 O2,L2
FT_8.916_211.13044,Jasmonic acid,C12 H18 O3,210.12559,210.12317,3,0,85.8,NA,NA,Adduct -11.55 ppm,check with sirius,no result,delete,delete,delete,no result,no result,0.88,delete,delete,delete
FT_8.923_220.13320,Ritalinic acid,C13 H17 N O2,219.12593,219.12592,1,0,99.6,NA,NA,"Drug, likely contaminant",L2,na,na,na,na,na,na,0,no name,C13 H17 N O2,L4.3
